name,zone,income,lifeExpectancy,population
Guinée,Afrique subsaharienne,1165.12982,58.73343902,12275527
Guinée-Bissau,Afrique subsaharienne,1336.462323,55.16004878,1800513
Guyane,Amérique latine et Caraïbes,6886.960282,66.40641463,763893
Haïti,Amérique latine et Caraïbes,1652.923125,62.74743902,10572029
Honduras,Amérique latine et Caraïbes,4682.99035,73.13570732,7961680
Hong Kong,Asie de l’Est et Pacifique,52609.61469,83.9804878,7241700
Hongrie,Europe et Asie centrale,23723.25066,75.87317073,9866468
Islande,Europe et Asie centrale,41262.04245,82.06097561,327386
Inde,Asie du Sud,5391.694148,68.01380488,1295291543
Indonésie,Asie de l’Est et Pacifique,10031.32195,68.8884878,254454778
Iran,Moyen-Orient et Afrique du Nord,16507.02425,75.38931707,78143644
Iraq,Moyen-Orient et Afrique du Nord,14177.11045,69.39968293,35273293
Irlande,Europe et Asie centrale,48383.66132,81.15365854,4617225
Israël,Moyen-Orient et Afrique du Nord,31521.32169,82.15365854,8215700
Italie,Europe et Asie centrale,33341.0388,82.6902439,60789140
Jamaïque,Amérique latine et Caraïbes,8469.558472,75.6535122,2720554
Japon,Asie de l’Est et Pacifique,35587.16602,83.58780488,127131800
Jordanie,Moyen-Orient et Afrique du Nord,10242.04049,74.05214634,7416083
Kazakhstan,Europe et Asie centrale,24418.86367,71.62,17289224
Kenya,Afrique subsaharienne,2818.525658,61.57636585,44863583
Kiribati,Asie de l’Est et Pacifique,1725.85646,65.95168293,110470
Corée du Sud,Asie de l’Est et Pacifique,33639.60763,82.15585366,50423955
Kosovo,Europe et Asie centrale,8744.408085,71.09756098,1812771
Kyrgyzstan,Europe et Asie centrale,3181.642167,70.40243902,5835500
Laos,Asie de l’Est et Pacifique,5076.222378,66.11736585,6689300
Lettonie,Europe et Asie centrale,22038.46663,74.18780488,1993782
Liban,Moyen-Orient et Afrique du Nord,13471.81321,79.37309756,5612096
Libéria,Afrique subsaharienne,803.6551766,60.83441463,4396554
Libye,Moyen-Orient et Afrique du Nord,14879.98843,71.71612195,6258984
Lituanie,Europe et Asie centrale,25786.3379,73.96585366,2932367
Luxembourg,Europe et Asie centrale,91368.11265,82.20731707,556319
Macao,Asie de l’Est et Pacifique,133675.785,80.55309756,577914
Macédoine,Europe et Asie centrale,12291.49467,75.34239024,2075625
Madagascar,Afrique subsaharienne,1370.664387,65.08560976,23571713
Malawi,Afrique subsaharienne,1114.766049,62.72163415,16695253
Mali,Afrique subsaharienne,2187.519065,57.98626829,17086022
Mauritanie,Afrique subsaharienne,3693.542041,63.01658537,3969625
Maurice,Afrique subsaharienne,17736.92173,74.19439024,1260934
Mexique,Amérique latine et Caraïbes,16301.47008,76.72185366,125385833
Micronésie,Asie de l’Est et Pacifique,3177.392579,69.10107317,104044
Moldovie,Europe et Asie centrale,4762.641836,71.45587805,3556397
Mongolie,Asie de l’Est et Pacifique,11403.34551,69.46390244,2909871
Monténégro,Europe et Asie centrale,14533.96119,76.18070732,621810
Maroc,Moyen-Orient et Afrique du Nord,7146.28334,74.01609756,33921203
Mozambique,Afrique subsaharienne,1079.5696,55.02595122,27216276
Namibie,Afrique subsaharienne,9491.501398,64.68019512,2402858
Népal,Asie du Sud,2265.053018,69.60468293,28174724
Pays-Bas,Europe et Asie centrale,45662.06538,81.30487805,16865008
Nicaragua,Amérique latine et Caraïbes,4707.445227,74.81014634,6013913
Niger,Afrique subsaharienne,901.7585957,61.4584878,19113728
Nigéria,Afrique subsaharienne,5639.447041,52.75426829,177475986
Norvège,Europe et Asie centrale,64161.49272,81.75121951,5137232
Pakistan,Asie du Sud,4590.146529,66.18336585,185044286
Panama,Amérique latine et Caraïbes,20059.12749,77.59514634,3867535
Papouasie-Nouvelle-Guinée,Asie de l’Est et Pacifique,2723.493095,62.60692683,7463577
Paraguay,Amérique latine et Caraïbes,8501.629171,72.92170732,6552518
Pérou,Amérique latine et Caraïbes,11451.25263,74.52553659,30973148
Philippines,Asie de l’Est et Pacifique,6648.550529,68.26563415,99138690
Portugal,Europe et Asie centrale,26174.86187,80.72195122,10401062
Qatar,Moyen-Orient et Afrique du Nord,134447.7601,78.59680488,2172065
Roumanie,Europe et Asie centrale,19133.91113,75.06341463,19908979
Russie,Europe et Asie centrale,24873.88501,70.36585366,143819569
Samoa,Asie de l’Est et Pacifique,5523.946701,73.51182927,191845
Sao Tomé-et-Principe,Afrique subsaharienne,3030.217162,66.38460976,186342
Arabie saoudite,Moyen-Orient et Afrique du Nord,49618.87471,74.33721951,30886545
Sénégal,Afrique subsaharienne,2215.216141,66.37258537,14672557
Sierra Leone,Afrique subsaharienne,1919.162045,50.87878049,6315627
Singapour,Asie de l’Est et Pacifique,79550.90077,82.64634146,5469724
Slovaquie,Europe et Asie centrale,26469.90377,76.71463415,5418649
Slovénie,Europe et Asie centrale,28156.29706,80.5195122,2061980
Îles Salomon,Asie de l’Est et Pacifique,2032.485807,67.93080488,572171
Afrique du Sud,Afrique subsaharienne,12436.24249,57.18212195,54058647
Espagne,Europe et Asie centrale,31749.72172,83.07804878,46480882
Saint-Vincent-et-les Grenadines,Amérique latine et Caraïbes,10240.09075,72.93685366,109360
Soudan,Afrique subsaharienne,3882.245273,63.45853659,39350274
Suriname,Amérique latine et Caraïbes,15872.61477,71.15143902,538248
Swaziland,Afrique subsaharienne,7910.835052,48.93473171,1269112
Suède,Europe et Asie centrale,43976.28597,81.95609756,9696110
Suisse,Europe et Asie centrale,55270.9808,82.84878049,8188649
Tadjikistan,Europe et Asie centrale,2567.037718,69.59797561,8295840
Tanzanie,Afrique subsaharienne,2421.20802,64.94390244,51822621
Thaïlande,Asie de l’Est et Pacifique,14975.96022,74.42202439,67725979
Togo,Afrique subsaharienne,1337.199075,59.65580488,7115163
Trinité-et-Tobago,Amérique latine et Caraïbes,30497.22445,70.44056098,1354483
Tunisie,Moyen-Orient et Afrique du Nord,10748.61843,74.14390244,10996600
Turquie,Europe et Asie centrale,18500.68769,75.1635122,77523788
Ouganda,Afrique subsaharienne,1689.436629,58.46641463,37782971
Émirats arabes unis,Moyen-Orient et Afrique du Nord,64562.62007,77.36817073,9086139
Royaume-Uni,Europe et Asie centrale,38084.87025,81.05609756,64613160
États-Unis,Amérique du Nord,51708.40315,78.94146341,318907401
Uruguay,Amérique latine et Caraïbes,19827.73894,76.98614634,3419516
Ouzbékistan,Europe et Asie centrale,5316.872673,68.33902439,30757700
Venezuela,Amérique latine et Caraïbes,16769.32678,74.23619512,30693827
Viet Nam,Asie de l’Est et Pacifique,5370.20998,75.62912195,90728900
Zambie,Afrique subsaharienne,3710.418583,60.04704878,15721343
