name,zone,income,lifeExpectancy,population
Kyrgyzstan,Europe et Asie centrale,2074.505285,68.55853659,4898400
Laos,Asie de l’Est et Pacifique,2346.684406,58.8792439,5342879
Lettonie,Europe et Asie centrale,10990.7931,70.31463415,2367550
Liban,Moyen-Orient et Afrique du Nord,12335.02766,74.43170732,3235380
Libéria,Afrique subsaharienne,836.5395269,52.40912195,2891968
Libye,Moyen-Orient et Afrique du Nord,21997.48301,70.57253659,5337264
Lituanie,Europe et Asie centrale,12023.02345,72.0195122,3499536
Luxembourg,Europe et Asie centrale,80732.17104,77.87317073,436300
Macao,Asie de l’Est et Pacifique,37281.2102,77.62282927,431907
Macédoine,Europe et Asie centrale,8712.863513,73.24219512,2012051
Madagascar,Afrique subsaharienne,1446.046693,58.47280488,15744811
Malawi,Afrique subsaharienne,880.1106956,44.07992683,11193230
Mali,Afrique subsaharienne,1022.226103,48.89643902,11046926
Mauritanie,Afrique subsaharienne,2749.063332,60.01739024,2711421
Maurice,Afrique subsaharienne,11348.13287,71.66341463,1186873
Mexique,Amérique latine et Caraïbes,14856.11642,74.29973171,102808590
Micronésie,Asie de l’Est et Pacifique,3167.316354,67.2752439,107430
Moldovie,Europe et Asie centrale,2328.626567,66.89002439,3639592
Mongolie,Asie de l’Est et Pacifique,4655.018712,62.91387805,2397438
Monténégro,Europe et Asie centrale,9896.391717,73.18204878,604950
Maroc,Moyen-Orient et Afrique du Nord,4469.642712,68.49760976,28950553
Mozambique,Afrique subsaharienne,555.5598808,48.68660976,18264536
Namibie,Afrique subsaharienne,6110.303402,55.12070732,1897953
Népal,Asie du Sud,1539.768352,62.32663415,23740145
Pays-Bas,Europe et Asie centrale,42012.99837,77.98780488,15925513
Nicaragua,Amérique latine et Caraïbes,3474.935731,69.65807317,5026792
Niger,Afrique subsaharienne,761.8048861,50.69795122,11224523
Nigéria,Afrique subsaharienne,2835.988213,46.624,122876723
Norvège,Europe et Asie centrale,58698.78763,78.63414634,4490967
Pakistan,Asie du Sud,3501.807846,62.77317073,138250487
Panama,Amérique latine et Caraïbes,10283.32767,75.10197561,3028751
Papouasie-Nouvelle-Guinée,Asie de l’Est et Pacifique,1857.330807,58.79929268,5374051
Paraguay,Amérique latine et Caraïbes,6084.787735,70.07468293,5302703
Pérou,Amérique latine et Caraïbes,6506.594337,70.50743902,25914875
Philippines,Asie de l’Est et Pacifique,4227.328479,66.68212195,77932247
Portugal,Europe et Asie centrale,26147.24702,76.31463415,10289898
Qatar,Moyen-Orient et Afrique du Nord,109415.1221,76.4955122,593453
Roumanie,Europe et Asie centrale,10249.82965,71.16341463,22442971
Russie,Europe et Asie centrale,14050.85134,65.34146341,146596557
Samoa,Asie de l’Est et Pacifique,4325.731538,69.48731707,174614
Sao Tomé-et-Principe,Afrique subsaharienne,2079.98285,63.29253659,137164
Arabie saoudite,Moyen-Orient et Afrique du Nord,35342.16882,72.52621951,21392273
Sénégal,Afrique subsaharienne,1923.909637,57.76580488,9860578
Sierra Leone,Afrique subsaharienne,1026.64597,38.69014634,4060709
Singapour,Asie de l’Est et Pacifique,51636.218,77.95121951,4027887
Slovaquie,Europe et Asie centrale,15241.70066,73.05121951,5388720
Slovénie,Europe et Asie centrale,22493.61157,75.41219512,1988925
Îles Salomon,Asie de l’Est et Pacifique,1730.523952,62.83673171,412336
Afrique du Sud,Afrique subsaharienne,9926.853253,55.83687805,44000000
Espagne,Europe et Asie centrale,30629.76936,78.96585366,40263216
Saint-Vincent-et-les Grenadines,Amérique latine et Caraïbes,7555.937205,70.58212195,107897
Soudan,Afrique subsaharienne,2232.638495,57.97497561,28079664
Suriname,Amérique latine et Caraïbes,9615.757467,67.92917073,480751
Swaziland,Afrique subsaharienne,6853.433508,48.66407317,1063715
Suède,Europe et Asie centrale,36816.25018,79.64390244,8872109
Suisse,Europe et Asie centrale,49083.14763,79.6804878,7184250
Tadjikistan,Europe et Asie centrale,1185.600638,63.69529268,6186152
Tanzanie,Afrique subsaharienne,1489.654441,50.46534146,33991590
Thaïlande,Asie de l’Est et Pacifique,9228.210149,70.63407317,62693322
Togo,Afrique subsaharienne,1302.042194,53.46868293,4874735
Trinité-et-Tobago,Amérique latine et Caraïbes,18133.38408,68.59643902,1267980
Tunisie,Moyen-Orient et Afrique du Nord,7727.011533,72.6,9552500
Turquie,Europe et Asie centrale,13011.53439,69.99934146,63240157
Ouganda,Afrique subsaharienne,1064.267338,46.41997561,23757636
Émirats arabes unis,Moyen-Orient et Afrique du Nord,107206.4607,74.45153659,3050128
Royaume-Uni,Europe et Asie centrale,32898.29567,77.74146341,58892514
États-Unis,Amérique du Nord,45986.05271,76.63658537,282162411
Uruguay,Amérique latine et Caraïbes,12874.77639,74.68597561,3321242
Ouzbékistan,Europe et Asie centrale,2471.438399,66.94078049,24650400
Venezuela,Amérique latine et Caraïbes,14417.1038,72.34612195,24481477
Viet Nam,Asie de l’Est et Pacifique,2649.719416,73.14858537,77630900
Zambie,Afrique subsaharienne,2101.078308,43.45668293,10585220
