name,id,votes,percent,candidate,party
Central Nova/Nova-Centre,12002,25909,58.5%,Sean Fraser,Libéral
Cumberland--Colchester,12003,70,0.2%,Richard Trueman Plett,Indépendant
Cumberland--Colchester,12003,181,0.4%,Kenneth Jackson,Indépendant
Cumberland--Colchester,12003,1650,3.6%,Jason Matthew Blanch,Parti Vert
Cumberland--Colchester,12003,2647,5.7%,Wendy Robinson,NPD-Nouveau Parti Démocratique
Cumberland--Colchester,12003,12257,26.5%,Scott Armstrong,Conservateur
Cumberland--Colchester,12003,29527,63.7%,Bill Casey,Libéral
Dartmouth--Cole Harbour,12004,1775,3.4%,Brynn Nheiley,Parti Vert
Dartmouth--Cole Harbour,12004,7331,14%,Jason Cole,Conservateur
Dartmouth--Cole Harbour,12004,12757,24.4%,Robert Chisholm,NPD-Nouveau Parti Démocratique
Dartmouth--Cole Harbour,12004,30407,58.2%,Darren Fisher,Libéral
Halifax,12005,130,0.2%,Allan Bezanson,Marxiste-Léniniste
Halifax,12005,1745,3.3%,Thomas Trappenberg,Parti Vert
Halifax,12005,4564,8.6%,Irvine Carvery,Conservateur
Halifax,12005,19162,36.1%,Megan Leslie,NPD-Nouveau Parti Démocratique
Halifax,12005,27431,51.7%,Andy Fillmore,Libéral
Halifax West/Halifax-Ouest,12006,1971,3.9%,Richard Henryk Zurawski,Parti Vert
Halifax West/Halifax-Ouest,12006,5894,11.8%,Joanne Hussey,NPD-Nouveau Parti Démocratique
Halifax West/Halifax-Ouest,12006,7837,15.6%,Michael McGinnis,Conservateur
Halifax West/Halifax-Ouest,12006,34377,68.6%,Geoff Regan,Libéral
Kings--Hants,12007,100,0.2%,Clifford James Williams,Indépendant
Kings--Hants,12007,132,0.3%,Edd Twohig,Indépendant
Kings--Hants,12007,184,0.4%,Megan Brown-Hodges,Rhinocéros
Kings--Hants,12007,1569,3.4%,Will Cooper,Parti Vert
Kings--Hants,12007,2998,6.4%,Hugh Curry,NPD-Nouveau Parti Démocratique
Kings--Hants,12007,8677,18.6%,David Morse,Conservateur
Kings--Hants,12007,33026,70.7%,Scott Brison,Libéral
Sackville--Preston--Chezzetcook,12008,1341,2.8%,Mike Montgomery,Parti Vert
Sackville--Preston--Chezzetcook,12008,7186,14.9%,Robert Thomas Strickland,Conservateur
Sackville--Preston--Chezzetcook,12008,16613,34.4%,Peter Stoffer,NPD-Nouveau Parti Démocratique
Sackville--Preston--Chezzetcook,12008,23161,48%,Darrell Samson,Libéral
South Shore--St. Margarets,12009,151,0.3%,Ryan Barry,Communiste
South Shore--St. Margarets,12009,257,0.5%,Trevor Bruhm,Indépendant
South Shore--St. Margarets,12009,1534,2.9%,Richard Biggar,Parti Vert
South Shore--St. Margarets,12009,8883,16.8%,Alex Godbold,NPD-Nouveau Parti Démocratique
South Shore--St. Margarets,12009,11905,22.6%,Richard Clark,Conservateur
South Shore--St. Margarets,12009,30045,56.9%,Bernadette Jordan,Libéral
Sydney--Victoria,12010,242,0.6%,Wayne James Hiscock,Libertarien
Sydney--Victoria,12010,1026,2.5%,Adrianna MacKinnon,Parti Vert
Sydney--Victoria,12010,4360,10.6%,John Douglas Chiasson,Conservateur
Sydney--Victoria,12010,5351,13.1%,Monika Dutt,NPD-Nouveau Parti Démocratique
Sydney--Victoria,12010,29995,73.2%,Mark Eyking,Libéral
West Nova/Nova-Ouest,12011,1904,4.2%,Clark Walton,Parti Vert
West Nova/Nova-Ouest,12011,3084,6.8%,Greg Foster,NPD-Nouveau Parti Démocratique
West Nova/Nova-Ouest,12011,11916,26.1%,Arnold LeBlanc,Conservateur
West Nova/Nova-Ouest,12011,28775,63%,Colin Fraser,Libéral
Acadie--Bathurst,13001,1187,2.3%,Dominique Breau,Parti Vert
Acadie--Bathurst,13001,3852,7.6%,Riba Girouard-Riordon,Conservateur
Acadie--Bathurst,13001,20079,39.4%,Jason Godin,NPD-Nouveau Parti Démocratique
Acadie--Bathurst,13001,25845,50.7%,Serge Cormier,Libéral
Beauséjour,13002,2376,4.5%,Kevin King,Parti Vert
Beauséjour,13002,6017,11.4%,Ann Bastarache,Conservateur
Beauséjour,13002,8009,15.1%,Hélène Boudreau,NPD-Nouveau Parti Démocratique
Beauséjour,13002,36534,69%,Dominic LeBlanc,Libéral
Fredericton,13003,4622,9.9%,Sharon Scott-Levesque,NPD-Nouveau Parti Démocratique
Fredericton,13003,5804,12.4%,Mary Lou Babineau,Parti Vert
Fredericton,13003,13280,28.4%,Keith Ashfield,Conservateur
Fredericton,13003,23016,49.3%,Matt DeCourcey,Libéral
Fundy Royal,13004,296,0.6%,David Raymond Amos,Indépendant
Fundy Royal,13004,1823,3.9%,Stephanie Coburn,Parti Vert
Fundy Royal,13004,8204,17.5%,Jennifer McKenzie,NPD-Nouveau Parti Démocratique
Fundy Royal,13004,17361,37.1%,Rob Moore,Conservateur
Fundy Royal,13004,19136,40.9%,Alaina Lockhart,Libéral
Madawaska--Restigouche,13005,707,1.9%,Françoise Aubin,Parti Vert
Madawaska--Restigouche,13005,6151,16.5%,Bernard Valcourt,Conservateur
Madawaska--Restigouche,13005,9670,25.9%,Rosaire L'Italien,NPD-Nouveau Parti Démocratique
Madawaska--Restigouche,13005,20778,55.7%,René Arseneault,Libéral
Miramichi--Grand Lake,13006,1098,3%,Matthew Ian Clark,Parti Vert
Miramichi--Grand Lake,13006,5588,15.4%,Patrick Colford,NPD-Nouveau Parti Démocratique
Miramichi--Grand Lake,13006,12476,34.3%,Tilly O'Neill-Gordon,Conservateur
Miramichi--Grand Lake,13006,17202,47.3%,Pat Finnigan,Libéral
Moncton--Riverview--Dieppe,13007,2399,4.6%,Luc Melanson,Parti Vert
Moncton--Riverview--Dieppe,13007,8420,16.2%,Luc LeBlanc,NPD-Nouveau Parti Démocratique
Moncton--Riverview--Dieppe,13007,11168,21.5%,Robert Goguen,Conservateur
Moncton--Riverview--Dieppe,13007,30054,57.8%,Ginette Petitpas Taylor,Libéral
New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,13008,1877,4.9%,Gayla MacIntosh,Parti Vert
New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,13008,4768,12.6%,Andrew Graham,NPD-Nouveau Parti Démocratique
New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,13008,14625,38.6%,John Williamson,Conservateur
New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,13008,16656,43.9%,Karen Ludwig,Libéral
Saint John--Rothesay,13009,1321,3.1%,Sharon Murphy,Parti Vert
Saint John--Rothesay,13009,7411,17.5%,AJ Griffin,NPD-Nouveau Parti Démocratique
Saint John--Rothesay,13009,12915,30.5%,Rodney Weston,Conservateur
Saint John--Rothesay,13009,20634,48.8%,Wayne Long,Libéral
Tobique--Mactaquac,13010,1959,5.1%,Terry Wishart,Parti Vert
Tobique--Mactaquac,13010,4334,11.3%,Robert Kitchen,NPD-Nouveau Parti Démocratique
Tobique--Mactaquac,13010,14225,37%,Richard Bragdon,Conservateur
Tobique--Mactaquac,13010,17909,46.6%,TJ Harvey,Libéral
Abitibi--Baie-James--Nunavik--Eeyou,24001,258,0.7%,Mario Gagnon,Rhinocéros
Abitibi--Baie-James--Nunavik--Eeyou,24001,779,2.3%,Patrick Benoît,Parti Vert
Abitibi--Baie-James--Nunavik--Eeyou,24001,3211,9.3%,Steven Hébert,Conservateur
Abitibi--Baie-James--Nunavik--Eeyou,24001,6398,18.5%,Luc Ferland,Bloc Québécois
Abitibi--Baie-James--Nunavik--Eeyou,24001,11094,32.1%,Pierre Dufour,Libéral
Abitibi--Baie-James--Nunavik--Eeyou,24001,12778,37%,Romeo Saganash,NPD-Nouveau Parti Démocratique
Abitibi--Témiscamingue,24002,425,0.9%,Pascal Le Fou Gélinas,Rhinocéros
Abitibi--Témiscamingue,24002,859,1.7%,Aline Bégin,Parti Vert
Abitibi--Témiscamingue,24002,3425,6.9%,Benoit Fortin,Conservateur
Abitibi--Témiscamingue,24002,9651,19.4%,Yvon Moreau,Bloc Québécois
Abitibi--Témiscamingue,24002,14733,29.6%,Claude Thibault,Libéral
Abitibi--Témiscamingue,24002,20636,41.5%,Christine Moore,NPD-Nouveau Parti Démocratique
Ahuntsic-Cartierville,24003,285,0.5%,Catherine Gascon-David,Rhinocéros
Ahuntsic-Cartierville,24003,1175,2.1%,Gilles Mercier,Parti Vert
Ahuntsic-Cartierville,24003,4051,7.3%,Wiliam Moughrabi,Conservateur
Ahuntsic-Cartierville,24003,7346,13.2%,Nicolas Bourdon,Bloc Québécois
Ahuntsic-Cartierville,24003,16684,30%,Maria Mourani,NPD-Nouveau Parti Démocratique
Ahuntsic-Cartierville,24003,26026,46.8%,Mélanie Joly,Libéral
Alfred-Pellan,24004,203,0.4%,Renata Isopo,Indépendant
Alfred-Pellan,24004,1089,2%,Lynda Briguene,Parti Vert
Alfred-Pellan,24004,6259,11.3%,Gabriel Purcarus,Conservateur
Alfred-Pellan,24004,9836,17.8%,Daniel St-Hilaire,Bloc Québécois
Alfred-Pellan,24004,13225,24%,Rosane Doré Lefebvre,NPD-Nouveau Parti Démocratique
Alfred-Pellan,24004,24557,44.5%,Angelo Iacono,Libéral
Argenteuil--La Petite-Nation,24005,1118,2.2%,Audrey Lamarche,Parti Vert
Argenteuil--La Petite-Nation,24005,5680,11.1%,Maxime Hupé-Labelle,Conservateur
Argenteuil--La Petite-Nation,24005,9525,18.7%,Jonathan Beauchamp,Bloc Québécois
Argenteuil--La Petite-Nation,24005,12650,24.8%,Chantal Crête,NPD-Nouveau Parti Démocratique
Argenteuil--La Petite-Nation,24005,22093,43.3%,Stéphane Lauzon,Libéral
Avignon--La Mitis--Matane--Matapédia,24006,175,0.5%,Éric Normand,Rhinocéros
Avignon--La Mitis--Matane--Matapédia,24006,365,1%,Sherri Springle,Parti Vert
Avignon--La Mitis--Matane--Matapédia,24006,2228,6.1%,André Savoie,Conservateur
Avignon--La Mitis--Matane--Matapédia,24006,4229,11.6%,Jean-François Fortin,Forces et Démocratie - Allier les forces de nos régions
Avignon--La Mitis--Matane--Matapédia,24006,7340,20.2%,Joël Charest,NPD-Nouveau Parti Démocratique
Avignon--La Mitis--Matane--Matapédia,24006,7641,21%,Kédina Fleury-Samson,Bloc Québécois
Avignon--La Mitis--Matane--Matapédia,24006,14378,39.5%,Rémi Massé,Libéral
Beauce,24007,943,1.7%,Céline Brown MacDonald,Parti Vert
Beauce,24007,4144,7.4%,Stéphane Trudel,Bloc Québécois
Beauce,24007,5443,9.7%,Daniel Royer,NPD-Nouveau Parti Démocratique
Beauce,24007,12442,22.3%,Adam Veilleux,Libéral
Beauce,24007,32910,58.9%,Maxime Bernier,Conservateur
Beauport--Limoilou,24008,124,0.2%,Bladimir Laborit,Forces et Démocratie - Allier les forces de nos régions
Beauport--Limoilou,24008,128,0.3%,Claude Moreau,Marxiste-Léniniste
Beauport--Limoilou,24008,423,0.8%,Francis Bedard,Libertarien
Beauport--Limoilou,24008,1220,2.4%,Dalila Elhak,Parti Vert
Beauport--Limoilou,24008,7467,14.8%,Doni Berberi,Bloc Québécois
Beauport--Limoilou,24008,12854,25.4%,Antoine Bujold,Libéral
Beauport--Limoilou,24008,12881,25.5%,Raymond Côté,NPD-Nouveau Parti Démocratique
Beauport--Limoilou,24008,15461,30.6%,Alupa Clarke,Conservateur
Bécancour--Nicolet--Saurel,24009,1182,2.3%,Corina Bastiani,Parti Vert
Bécancour--Nicolet--Saurel,24009,5955,11.4%,Yves Laberge,Conservateur
Bécancour--Nicolet--Saurel,24009,11531,22.1%,Nicolas Tabah,NPD-Nouveau Parti Démocratique
Bécancour--Nicolet--Saurel,24009,12666,24.3%,Claude Carpentier,Libéral
Bécancour--Nicolet--Saurel,24009,20871,40%,Louis Plamondon,Bloc Québécois
Bellechasse--Les Etchemins--Lévis,24010,2032,3.2%,André Bélisle,Parti Vert
Bellechasse--Les Etchemins--Lévis,24010,7217,11.5%,Antoine Dubé,Bloc Québécois
Bellechasse--Les Etchemins--Lévis,24010,8516,13.6%,Jean-Luc Daigle,NPD-Nouveau Parti Démocratique
Bellechasse--Les Etchemins--Lévis,24010,12961,20.7%,Jacques Turgeon,Libéral
Bellechasse--Les Etchemins--Lévis,24010,31872,50.9%,Steven Blaney,Conservateur
Beloeil--Chambly,24011,245,0.4%,Michael Maher,Libertarien
Beloeil--Chambly,24011,1498,2.3%,Fodé Kerfalla Yansané,Parti Vert
Beloeil--Chambly,24011,6173,9.3%,Claude Chalhoub,Conservateur
Beloeil--Chambly,24011,18387,27.7%,Yves Lessard,Bloc Québécois
Beloeil--Chambly,24011,19494,29.3%,Karine Desjardins,Libéral
Beloeil--Chambly,24011,20641,31.1%,Matthew Dubé,NPD-Nouveau Parti Démocratique
Berthier--Maskinongé,24012,847,1.6%,Cate Burton,Parti Vert
Berthier--Maskinongé,24012,5548,10.2%,Marianne Foucrault,Conservateur
Berthier--Maskinongé,24012,11032,20.3%,Pierre Destrempes,Libéral
Berthier--Maskinongé,24012,14037,25.8%,Yves Perron,Bloc Québécois
Berthier--Maskinongé,24012,22942,42.2%,Ruth Ellen Brosseau,NPD-Nouveau Parti Démocratique
Thérèse-De Blainville,24013,355,0.6%,Daniel Guindon,Libertarien
Thérèse-De Blainville,24013,1352,2.4%,Andrew Carkner,Parti Vert
Thérèse-De Blainville,24013,7000,12.4%,Manuel Puga,Conservateur
Thérèse-De Blainville,24013,14022,24.9%,Alain Giguère,NPD-Nouveau Parti Démocratique
Thérèse-De Blainville,24013,15238,27.1%,Alain Marginean,Bloc Québécois
Thérèse-De Blainville,24013,18281,32.5%,Ramez Ayoub,Libéral
Pierre-Boucher--Les Patriotes--Verchères,24014,5056,8.5%,JiCi Lauzon,Parti Vert
Pierre-Boucher--Les Patriotes--Verchères,24014,6079,10.2%,Clovis Maheux,Conservateur
Pierre-Boucher--Les Patriotes--Verchères,24014,14454,24.3%,Raphaël Fortin,NPD-Nouveau Parti Démocratique
Pierre-Boucher--Les Patriotes--Verchères,24014,16794,28.3%,Lucie Gagnon,Libéral
Pierre-Boucher--Les Patriotes--Verchères,24014,17007,28.6%,Xavier Barsalou-Duval,Bloc Québécois
Bourassa,24015,99,0.2%,Jean-Marie Floriant Ndzana,Forces et Démocratie - Allier les forces de nos régions
Bourassa,24015,229,0.6%,Claude Brunelle,Marxiste-Léniniste
Bourassa,24015,669,1.6%,Julie Demers,Indépendant
Bourassa,24015,886,2.2%,Maxime Charron,Parti Vert
Bourassa,24015,3819,9.3%,Jason Potasso-Justino,Conservateur
Bourassa,24015,6144,14.9%,Dolmine Laguerre,NPD-Nouveau Parti Démocratique
Bourassa,24015,7049,17.1%,Gilles Léveillé,Bloc Québécois
Bourassa,24015,22234,54.1%,Emmanuel Dubourg,Libéral
Brome--Missisquoi,24016,195,0.3%,Patrick Paine,Forces et Démocratie - Allier les forces de nos régions
Brome--Missisquoi,24016,1377,2.3%,Cindy Moynan,Parti Vert
Brome--Missisquoi,24016,6724,11.5%,Charles Poulin,Conservateur
Brome--Missisquoi,24016,10252,17.5%,Patrick Melchior,Bloc Québécois
Brome--Missisquoi,24016,14383,24.5%,Catherine Lusson,NPD-Nouveau Parti Démocratique
Brome--Missisquoi,24016,25744,43.9%,Denis Paradis,Libéral
Brossard--Saint-Lambert,24017,1081,1.9%,Fang Hu,Parti Vert
Brossard--Saint-Lambert,24017,6071,10.6%,Suzanne Lachance,Bloc Québécois
Brossard--Saint-Lambert,24017,7215,12.6%,Qais Hamidi,Conservateur
Brossard--Saint-Lambert,24017,14075,24.6%,Hoang Mai,NPD-Nouveau Parti Démocratique
Brossard--Saint-Lambert,24017,28818,50.3%,Alexandra Mendès,Libéral
Rimouski-Neigette--Témiscouata--Les Basques,24018,273,0.6%,Sébastien CôRhino Côrriveau,Rhinocéros
Rimouski-Neigette--Témiscouata--Les Basques,24018,669,1.5%,Louise Boutin,Parti Vert
Rimouski-Neigette--Témiscouata--Les Basques,24018,3363,7.5%,Francis Fortin,Conservateur
Rimouski-Neigette--Témiscouata--Les Basques,24018,8673,19.3%,Johanne Carignan,Bloc Québécois
Rimouski-Neigette--Témiscouata--Les Basques,24018,12594,28%,Pierre Cadieux,Libéral
Rimouski-Neigette--Témiscouata--Les Basques,24018,19374,43.1%,Guy Caron,NPD-Nouveau Parti Démocratique
Charlesbourg--Haute-Saint-Charles,24019,1256,2.2%,Nathalie Baudet,Parti Vert
Charlesbourg--Haute-Saint-Charles,24019,7177,12.3%,Marc Antoine Turmel,Bloc Québécois
Charlesbourg--Haute-Saint-Charles,24019,11690,20.1%,Anne-Marie Day,NPD-Nouveau Parti Démocratique
Charlesbourg--Haute-Saint-Charles,24019,13525,23.2%,Jean Côté,Libéral
Charlesbourg--Haute-Saint-Charles,24019,24608,42.2%,Pierre Paul-Hus,Conservateur
Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,182,0.4%,Mario Desjardins Pelchat,Forces et Démocratie - Allier les forces de nos régions
Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,859,1.7%,Patrick Kerr,Parti Vert
Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,9306,18.4%,Jonathan Tremblay,NPD-Nouveau Parti Démocratique
Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,9650,19.1%,Sébastien Dufour,Bloc Québécois
Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,13556,26.9%,Jean-Roger Vigneau,Libéral
Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,16903,33.5%,Sylvie Boucher,Conservateur
Châteauguay--Lacolle,24021,149,0.3%,Linda Sullivan,Marxiste-Léniniste
Châteauguay--Lacolle,24021,982,1.9%,Jency Mercier,Parti Vert
Châteauguay--Lacolle,24021,5805,11.2%,Philippe St-Pierre,Conservateur
Châteauguay--Lacolle,24021,11986,23.1%,Sylvain Chicoine,NPD-Nouveau Parti Démocratique
Châteauguay--Lacolle,24021,12615,24.4%,Sophie Stanké,Bloc Québécois
Châteauguay--Lacolle,24021,20245,39.1%,Brenda Shanahan,Libéral
Chicoutimi--Le Fjord,24022,907,2.1%,Dany St-Gelais,Parti Vert
Chicoutimi--Le Fjord,24022,7270,16.6%,Caroline Ste-Marie,Conservateur
Chicoutimi--Le Fjord,24022,8990,20.5%,Élise Gauthier,Bloc Québécois
Chicoutimi--Le Fjord,24022,13019,29.7%,Dany Morin,NPD-Nouveau Parti Démocratique
Chicoutimi--Le Fjord,24022,13619,31.1%,Denis Lemieux,Libéral
Compton--Stanstead,24023,315,0.6%,Kévin Côté,Rhinocéros
Compton--Stanstead,24023,1085,1.9%,Korie Marshall,Parti Vert
Compton--Stanstead,24023,6978,12.5%,Gustavo Labrador,Conservateur
Compton--Stanstead,24023,11551,20.7%,France Bonsant,Bloc Québécois
Compton--Stanstead,24023,15300,27.4%,Jean Rousseau,NPD-Nouveau Parti Démocratique
Compton--Stanstead,24023,20582,36.9%,Marie-Claude Bibeau,Libéral
Dorval--Lachine--LaSalle,24024,230,0.4%,Soulèye Ndiaye,Indépendant
Dorval--Lachine--LaSalle,24024,1245,2.3%,Vincent J. Carbonneau,Parti Vert
Dorval--Lachine--LaSalle,24024,5338,9.8%,Jean-Frédéric Vaudry,Bloc Québécois
Dorval--Lachine--LaSalle,24024,6049,11.1%,Daniela Chivu,Conservateur
Dorval--Lachine--LaSalle,24024,11769,21.6%,Isabelle Morin,NPD-Nouveau Parti Démocratique
Dorval--Lachine--LaSalle,24024,29974,54.9%,Anju Dhillon,Libéral
Drummond,24025,1270,2.4%,Émile Coderre,Parti Vert
Drummond,24025,9221,17.7%,Pascale Déry,Conservateur
Drummond,24025,11862,22.8%,Diane Bourgeois,Bloc Québécois
Drummond,24025,13793,26.5%,Pierre Côté,Libéral
Drummond,24025,15833,30.5%,François Choquette,NPD-Nouveau Parti Démocratique
Gaspésie--Les Îles-de-la-Madeleine,24026,300,0.8%,Max Boudreau,Rhinocéros
Gaspésie--Les Îles-de-la-Madeleine,24026,400,1%,Jim Morrison,Parti Vert
Gaspésie--Les Îles-de-la-Madeleine,24026,2398,6.1%,Jean-Pierre Pigeon,Conservateur
Gaspésie--Les Îles-de-la-Madeleine,24026,8289,20.9%,Nicolas Roussy,Bloc Québécois
Gaspésie--Les Îles-de-la-Madeleine,24026,12885,32.5%,Philip Toone,NPD-Nouveau Parti Démocratique
Gaspésie--Les Îles-de-la-Madeleine,24026,15345,38.7%,Diane Lebouthillier,Libéral
Gatineau,24027,94,0.2%,Pierre Soublière,Marxiste-Léniniste
Gatineau,24027,148,0.3%,Guy J. Bellavance,Indépendant
Gatineau,24027,942,1.6%,Guy Dostaler,Parti Vert
Gatineau,24027,4733,8.2%,Luc Angers,Conservateur
Gatineau,24027,5455,9.4%,Philippe Boily,Bloc Québécois
Gatineau,24027,15352,26.6%,Françoise Boivin,NPD-Nouveau Parti Démocratique
Gatineau,24027,31076,53.8%,Steven MacKinnon,Libéral
Hochelaga,24028,148,0.3%,Christine Dandenault,Marxiste-Léniniste
Hochelaga,24028,179,0.3%,Marianne Breton Fontaine,Communiste
Hochelaga,24028,411,0.8%,Nicolas Lemay,Rhinocéros
Hochelaga,24028,1654,3.2%,Anne-Marie Saint-Cerny,Parti Vert
Hochelaga,24028,3555,6.8%,Alexandre Dang,Conservateur
Hochelaga,24028,14389,27.7%,Simon Marchand,Bloc Québécois
Hochelaga,24028,15534,29.9%,Marwah Rizqy,Libéral
Hochelaga,24028,16034,30.9%,Marjolaine Boutin-Sweet,NPD-Nouveau Parti Démocratique
Honoré-Mercier,24029,81,0.2%,Yves Le Seigle,Marxiste-Léniniste
Honoré-Mercier,24029,168,0.3%,Dayana Dejean,Forces et Démocratie - Allier les forces de nos régions
Honoré-Mercier,24029,814,1.6%,Angela Budilean,Parti Vert
Honoré-Mercier,24029,6226,12.1%,Guy Croteau,Conservateur
Honoré-Mercier,24029,6680,12.9%,Audrey Beauséjour,Bloc Québécois
Honoré-Mercier,24029,8478,16.4%,Paulina Ayala,NPD-Nouveau Parti Démocratique
Honoré-Mercier,24029,29211,56.5%,Pablo Rodriguez,Libéral
Hull--Aylmer,24030,101,0.2%,Gabriel Girard-Bernier,Marxiste-Léniniste
Hull--Aylmer,24030,160,0.3%,Luc Desjardins,Indépendant
Hull--Aylmer,24030,291,0.5%,Sean J. Mulligan,Parti de l'Héritage Chrétien
Hull--Aylmer,24030,1035,1.9%,Roger Fleury,Parti Vert
Hull--Aylmer,24030,3625,6.5%,Maude Chouinard-Boucher,Bloc Québécois
Hull--Aylmer,24030,4278,7.7%,Étienne Boulrice,Conservateur
Hull--Aylmer,24030,17472,31.5%,Nycole Turmel,NPD-Nouveau Parti Démocratique
Hull--Aylmer,24030,28478,51.4%,Greg Fergus,Libéral
Joliette,24031,213,0.4%,Robert D. Morais,Forces et Démocratie - Allier les forces de nos régions
Joliette,24031,1335,2.4%,Mathieu Morin,Parti Vert
Joliette,24031,5705,10.1%,Soheil Eid,Conservateur
Joliette,24031,14566,25.7%,Danielle Landreville,NPD-Nouveau Parti Démocratique
Joliette,24031,15995,28.2%,Michel Bourgeois,Libéral
Joliette,24031,18875,33.3%,Gabriel Ste-Marie,Bloc Québécois
Jonquière,24032,382,0.8%,Marielle Couture,Rhinocéros
Jonquière,24032,656,1.4%,Carmen Budilean,Parti Vert
