id,sectors
25,"{'Environment': 17, 'Industry': 1, 'Constitutional Issues': 1, 'Taxation and Finance': 4, 'Climate': 4, 'Economic Development': 1}"
27,"{'Energy': 77, 'Fisheries': 10, 'Recherche et développement (R&D)': 11, 'Environment': 29, 'Budget': 1, 'Science and Technology': 6, 'Climate': 4, 'Infrastructure': 4, 'Security': 1, 'Telecommunications': 4, 'International Development': 1, 'Internal Trade': 1, 'International Trade': 1, 'Aboriginal Affairs': 1, 'Labour': 1, 'International Relations': 2}"
31,"{'Financial Institutions': 41, 'Environment': 46, 'Infrastructure': 26, 'Climate': 48, 'Municipalities': 2, 'Industry': 4, 'Energy': 3, 'Consumer Issues': 58, 'Taxation and Finance': 7, 'Justice and Law Enforcement': 2, 'PRIVACY': 2}"
37,"{'Transportation': 11, 'Agriculture': 54, 'Regional Development': 4, 'Infrastructure': 58, 'Taxation and Finance': 18, 'Environment': 36, 'Energy': 5, 'Justice and Law Enforcement': 17, 'Municipalities': 40, 'Telecommunications': 12, 'Fisheries': 4, 'Budget': 3, 'International Trade': 15, 'Health': 2, 'Broadcasting': 1, 'Climate': 3, 'livestock industry': 1, 'Infrastructure funding consultations': 1}"
38,"{'International Relations': 40, 'Mining': 37, 'International Development': 19, 'International Trade': 12, 'Environment': 21, 'Climate': 7, 'Aboriginal Affairs': 1, 'Taxation and Finance': 2, 'Energy': 10, 'Transportation': 4, 'Industry': 4, 'Immigration': 1, 'Labour': 1}"
39,"{'International Trade': 302, 'Taxation and Finance': 168, 'Climate': 21, 'Industry': 99, 'Economic Development': 27, 'Employment and Training': 129, 'Internal Trade': 26, 'Transportation': 66, 'Infrastructure': 44, 'Small Business': 124, 'Immigration': 70, 'Environment': 66, 'Energy': 81, 'Agriculture': 10, 'Aboriginal Affairs': 81, 'Security': 24, 'Mining': 11, 'Justice and Law Enforcement': 11, 'Government Procurement': 24, 'Health': 8, 'International Relations': 63, 'Telecommunications': 39, 'Intellectual Property': 92, 'Tourism': 48, 'Budget': 5, 'Constitutional Issues': 3, 'Privacy and Access to Information': 21, 'Regional Development': 39, 'Science and Technology': 38, 'Labour': 47, 'Education': 35, 'Pensions': 4, 'Financial Institutions': 7, 'Consumer Issues': 5, 'International Development': 2, 'Broadcasting': 1, 'Forestry': 1, 'Business Regulations': 1, 'Canada-U.S. Trade': 2, 'Finance': 1, 'Buy American provisions': 13, 'WTO and bilateral negotiations': 1, 'Nexus Expansion': 1, 'Rail Passenger Preclearance': 1, 'Other Government Department Single Window': 1, 'Border preclearance': 9, 'Border Contingency Planning': 9, 'Border Staffing': 9, 'Canada-U.S. Border': 20, 'Nexus program': 9, 'Foreign Trade Zones': 4, 'Employment Insurance': 2, 'Climate Change Policy': 6, 'Economic Recovery': 1, 'U.S. Protectionism': 1, 'Canada-EU Free Trade': 2, 'Cornwall Border Crossing': 1, 'CBSA core services review': 3, ""Canada's trade remedy system"": 2, 'Bill C-310': 2, 'Identity Theft': 5, 'Criminal victimization survey': 2, 'Bill C-300': 6, 'Illegal cigarette trade in Canada': 2, 'Bill C-273': 6, 'intellectual property rights and border enforcement': 1, 'Organized Crime Task Force': 2, 'Intellectual property rights and border enforcement': 1, 'Correctional services in Canada': 1, 'Country or origin labelling requirements in the US': 1, 'Country of origin labelling requirements in the United States': 1, 'Canada-EU Agreement': 2, 'Economic stimulus': 8, 'National Transportation Strategy': 2, 'Business Access to Credit': 1, 'Economic Outlook': 1, 'competitiveness': 1, 'Federal alignment of liens policy': 1, ""Canadian Chamber's National Economic Summit"": 1, 'GST applied to local government infrastructure': 1, 'Amending the Canada Pension Plan': 1, 'Implementation of tax law changes': 1, 'Alternative Fuels': 1, 'Investing in transportation infrastructure': 1, 'Fiscal Policy (Deficits, Debt, Spending, Taxation)': 1, 'Invitation to attend Dinner/Roundtable discussion with corporate members': 1, 'Airport Rent': 2, 'Mature Worker participation in labour market': 1, 'Retroactive legislation': 1, 'Small Business Deduction': 1, 'C-10': 2, 'Internal trade barriers': 2, 'Open Skies agreement': 1, 'G-8 Business Summit': 1, ""Canada's gateway strategy"": 1, ""Federal Government's Corporate Social Responsibility plan"": 1, 'Canada-Columbia free trade agreement': 1, 'Canada-India and Canada-China trade relations': 1, 'Enhancement of the NEXUS program': 1, 'Impact of climate change strategy on businesses and consumers': 1, 'Information and Communication Technologies/E-Commerce paper': 1, 'Skills': 1, 'Small/Medium enterprises pandemic planning': 1, 'Attracting U.S. Small/Medium enterprises to Canada': 1, 'Bill C-10': 3, 'Biopharmaceuticals': 3, 'Canadian industry program for energy conservation': 3, 'Capital support bio bio-products': 3, 'digital economy and ICT': 3, 'Funding approval process for bio-product applications': 3, 'Intellectual property rights and copyright': 3, 'Interprovincial trade barriers for wine': 3, 'Mining and mineral strategy': 3, 'National automotive strategy for Canada': 3, 'Privacy': 3, 'Research & Development in Canada': 3, 'Skilled workforce': 3, 'Arming of Border Guards training process': 1, 'International competitiveness': 1, 'G 20 Summit': 2, 'Fiscal Policy': 2, 'Privacy issues related to copyright reform': 2, 'Corporate Social Responsibility': 2, 'Competition Policy Reform': 2, 'Canada-U.S. environmental cooperation': 2, 'Free Trade Agreements: Europe, Peru, Columbia': 1, 'Trade Policy': 1, 'Canada-U.S. Trade Policy': 2, 'Border Efficiency': 1, 'Pre-Budget consultation meeting': 1, 'Copyright/Digital Rights Management Tools': 1, 'Canadian Chamber National Transportation Strategy': 1, 'Richard Gold Intellectual Property report and copyright': 2, 'Election Commitments to Business': 1, 'CBSA Priorities': 1, 'WTO and bilateral negotiations update': 2}"
40,"{'Justice and Law Enforcement': 80, 'Government Procurement': 46, 'International Development': 35, 'Budget': 32, 'Infrastructure': 76, 'Climate': 19, 'International Trade': 179, 'Environment': 28, 'Industry': 86, 'Transportation': 3, 'Energy': 128, 'International Relations': 202, 'Aboriginal Affairs': 6, 'Immigration': 7, 'Mining': 2, 'Employment and Training': 3, 'Federal policy on nuclear power development in Ontario': 1, 'Recommendations on Federal policy on nuclear power development in Ontario': 2, 'International Development Policy in Africa': 1, 'Nuclear Power in Ontario': 7, 'Nuclear power in Ontario': 1}"
44,"{'Health': 352, 'Infrastructure': 148, 'Research and Development': 161, 'Science and Technology': 146, 'Industry': 6, 'Aboriginal Affairs': 16, 'Immigration': 1, 'Taxation and Finance': 4, 'Environment': 4, 'Budget': 34, 'Education': 1, 'Bill C-51': 1, 'Health Infrastructure': 2, 'Federal Budgets and the Ten-Year Plan to Strengthen Health Care (2004 Accord): Financing of the Health System including the Canada Health Transfer and Equalization Program': 1, 'Internal Trade': 2, 'Employment and Training': 1, 'Security': 27, 'International Relations': 3, 'International Trade': 2, 'Privacy and Access to Information': 1, 'Climate': 2, 'Elections': 1}"
45,"{'Tourism': 85, 'Transportation': 281, 'Industry': 226, 'Employment and Training': 49, 'Security': 9, 'Immigration': 12, 'Labour': 24, 'Taxation and Finance': 83, 'Aboriginal Affairs': 1, 'Climate': 16, 'Environment': 12, 'International Trade': 11, 'International Relations': 30, 'Consumer Issues': 54, 'Privacy rights': 1, 'Aviation security': 1, 'Aviation security; privacy rights': 2}"
47,"{'Environment': 26, 'Energy': 44, 'Industry': 23, 'Aboriginal Affairs': 7, 'Infrastructure': 24, 'Consumer Issues': 20, 'Economic Development': 9, 'Municipalities': 1, 'Taxation and Finance': 6, 'International Trade': 2, 'Climate Change': 7, 'Gas Supply and Pricing': 7}"
49,"{'International Development': 299, 'Agriculture': 127, 'Climate': 101, 'Environment': 70, 'International Relations': 15, 'International Trade': 1, 'Budget': 1, 'INTERNATIONAL COOPERATION': 5}"
50,"{'Energy': 21, 'Environment': 65, 'Industry': 11, 'Climate': 13, 'Infrastructure': 3, 'Economic Development': 2, 'Budget': 1}"
53,"{'Employment and Training': 41, 'Labour': 38, 'Transportation': 74, 'Industry': 48, 'Health': 50, 'International Relations': 4, 'Justice and Law Enforcement': 35, 'Immigration': 6, 'Aboriginal Affairs': 5, 'International Trade': 135, 'Official Languages': 1, 'Infrastructure': 5, 'Telecommunications': 4, 'Government Procurement': 4, 'Climate': 19, 'Budget': 5, 'Taxation and Finance': 6, 'Environment': 27, 'Forestry': 2, 'Energy': 2, 'Research and Development': 1, 'Financial Institutions': 1, 'Science and Technology': 1, 'Mining': 1, 'Housing': 1, 'Economic Development': 12, 'Security': 1, 'Broadcasting': 103, 'Pensions': 8, 'Fisheries': 2, 'Arts and Culture': 100}"
54,"{'International Trade': 238, 'Agriculture': 307, 'Industry': 234, 'Health': 225, 'Internal Trade': 48, 'Labour': 140, 'International Relations': 34, 'Financial Institutions': 29, 'Taxation and Finance': 92, 'Transportation': 10, 'Science and Technology': 29, 'Budget': 30, 'Consumer Issues': 21, 'Small Business': 15, 'Environment': 28, 'Infrastructure': 22, 'Economic Development': 27, 'Research and Development': 7, 'Education': 1, 'Employment and Training': 1, 'Climate': 4, 'Regional Development': 2}"
55,"{'Environment': 20, 'Industry': 34, 'Research and Development': 1, 'Climate': 1, 'Science and Technology': 18, 'Regional Development': 13, 'Health': 11, 'International Trade': 10, 'Budget': 10, 'Economic Development': 10, 'Taxation and Finance': 6}"
56,"{'Taxation and Finance': 76, 'Agriculture': 339, 'International Trade': 108, 'Health': 15, 'Labour': 82, 'Environment': 53, 'Climate': 39, 'Immigration': 52, 'Industry': 10, 'Transportation': 31, 'Consumer Issues': 13, 'Telecommunications': 1, 'Science and Technology': 5, 'Fisheries': 2, 'Employment and Training': 3, 'Regional Development': 31}"
57,"{'Environment': 6, 'Climate': 11, 'Immigration': 8, 'Employment and Training': 9, 'Health': 2, 'Budget': 15, 'Taxation and Finance': 7, 'Housing': 13, 'Aboriginal Affairs': 1}"
58,"{'International Trade': 37, 'Energy': 59, 'Industry': 22, 'Environment': 35, 'Aboriginal Affairs': 3, 'Security': 1, 'Climate': 1, 'Foreign Investment': 8, 'Economy': 3, 'Taxation and Finance': 1, 'Research and Development': 2, 'International Relations': 4, 'Employment and Training': 1, 'Infrastructure': 1}"
59,"{'Environment': 45, 'Energy': 71, 'Taxation and Finance': 7, 'Climate': 31, 'Infrastructure': 16, 'Industry': 3, 'Economic Development': 5, 'Aboriginal Affairs': 8, 'ecoENERGY for Renewable Power Program': 41, 'Research and Development': 7, 'Regional Development': 1, 'Government Procurement': 3, 'International Trade': 6, 'Science and Technology': 3, 'Long-Term Clean Air Study of the Energy Sector Sustainability Table': 1}"
60,"{'Energy': 238, 'Environment': 180, 'Climate': 173, 'Taxation and Finance': 38, 'Budget': 43, 'Industry': 30, 'International Relations': 19, 'Infrastructure': 16, 'Science and Technology': 3, 'Regional Development': 6, 'Transportation': 16, 'Mining': 1, 'Agriculture': 2, 'Climate Change and Energy Policy': 10, 'Oil sands development': 10, ""Canada's negotiating position in international climate change negotiations"": 20, 'Budget recommendations': 13, ""Design of Canada's greenhouse gas cap and trade system"": 4, 'Design of greenhouse gas cap and trade system': 2}"
62,"{'Municipalities': 460, 'Telecommunications': 27, 'Infrastructure': 362, 'Housing': 107, 'Justice and Law Enforcement': 14, 'International Relations': 15, 'Transportation': 78, 'International Trade': 28, 'Aboriginal Affairs': 12, 'Health': 21, 'International Development': 52, 'Security': 20, 'Budget': 56, 'Industry': 5, 'Fisheries': 10, 'Environment': 43, 'Immigration': 10, 'Internal Trade': 6, 'Taxation and Finance': 14, 'Regional Development': 3, 'Economic Development': 12, 'Broadcasting': 8, 'Energy': 10, 'Federal Infrastructure Stimulus Plan': 12, 'Federal Infrastucture Stimulus Plan': 4, 'Budget 2010': 2, 'Federal Infrastructure Stimulus plan': 11, 'Community safety and crime prevention': 6, 'Building relationships between municipal government and CIDA': 3, 'waste water regulations': 2, 'housing programs': 3, 'low cost municipal loan program': 3, 'climate change': 2, 'COP15': 1, 'Broadband': 1, 'Cell phone tower policy': 1, 'Budget Consultations': 1, 'Land Management': 1, 'Buy America Issue': 4, 'Building relationship between municipal government and CIDA': 1, 'Building a strategic, long-term relationship between municipal government and CIDA': 1, 'Rural Issues': 3, 'Stimulus Spending': 1, 'FCM Annual Conference': 1, 'Rural': 1, 'Municipal Rights-of-Way': 2, 'Federal telecom system': 2, 'payments-in-lieu of taxes': 1, 'Challenging data needs of municipalities': 2, 'Budget 2009': 11, 'transit': 1, 'Homelessness': 1, 'the National Do Not Call List regulations': 1, 'Financial Institutions': 1, 'Government Procurement': 1, 'Science and Technology': 1, 'Climate': 2, 'Labour': 1, 'Elections': 1}"
63,"{'International Relations': 18, 'Energy': 26, 'Agriculture': 301, 'Environment': 166, 'Science and Technology': 32, 'Transportation': 182, 'Industry': 85, 'International Trade': 62, 'Taxation and Finance': 25, 'Security': 33, 'Labour': 6, 'Mining': 11, 'Natural Resources': 7, 'Health': 2, 'International Development': 23, 'Consumer Issues': 1, 'Climate': 1}"
64,"{'Climate': 78, 'Environment': 108, 'Energy': 123, 'Aboriginal Affairs': 3, 'Infrastructure': 4, 'Labour': 2, 'Science and Technology': 2, 'Industry': 1}"
67,"{'Mining': 1618, 'Environment': 841, 'Taxation and Finance': 140, 'Aboriginal Affairs': 184, 'Transportation': 180, 'Infrastructure': 83, 'Regional Development': 47, 'Climate': 58, 'Fisheries': 225, 'International Trade': 230, 'Energy': 35, 'International Development': 83, 'Employment and Training': 53, 'Economic Development': 60, 'Budget': 16, 'Immigration': 3, 'Labour': 16, 'Industry': 24, 'Science and Technology': 87, 'Research and Development': 34, 'International Relations': 64, 'Education': 1, 'Constitutional Issues': 2, 'Financial Institutions': 1, 'National Pollutant Release Inventory (NPRI)': 11, 'Greenhouse Gas (GHG)': 2, 'Northern Regulatory Improvement Initiative': 12, 'Tailings': 1, 'Waste management': 1, 'Geoscience': 1, 'Corporate tax': 1, 'Economy': 5, 'Northern Projects Management Office': 1, 'Corporate and Social Responsibility & Human Rights': 21, 'Climate Change and Clean Air': 14, 'Northern Development': 4, 'Green Mining Initiative': 2, 'Canada Mining Innovation Council (CMIC)': 1, 'Canada Mining Innovation Council (CMIC) - Funding': 1, 'Major Projects Management Office': 23, 'Economic Issues': 1, 'Northern Major Projects Management Office in relatin to mining projects in the North andpromoting economic development': 1, 'Climate Change in relation to providing input regarding federal strategies/processes to address greenhouse gas emissions': 2, 'Clean Air Regulatory Framework - turning the Corner Plan to Reduced Greenhouse Gases and Air Pollution (Clean Air Regulatory Framework) is it impacts companies in the mineral industry': 1, 'Foreign investment and trade': 12, 'Fisheries Act in respect of the Metal Mining Effluent Regulations (MMER) including requirements for Environmental Effects Monitoring (EEM)': 1, 'Northern Major Projects Management Office in relation to mining projects in the North and promoting economic development': 5, 'Canadian Environmental Assessment Act & Regs, as they affect assessment of projects in the mineral industry': 1, 'Canadian Environmental Protection Act as it applies to substances produced by or used by the mineral industry': 2, 'Canadian Environmental Assessment Act & Regs as they affect assessment of projects in the mineral industry': 3, 'Canadian Environmental Protection Act as it applies to substances produced by or used by the mineral industry - NPRI': 1, 'Corporate & Social Responsibility and Human Rights in respect to the Roundtable Report and the governments CSR Strategy and Bill C-300': 1, 'Economic & Fiscal Policy in relation to providing input regarding federal financial/tax issues': 2, ""Species at Risk Act in relation to it's interaction with the Canadian Environmental Assessment Act as a trigger for assessment and in imposing additinal conditions on projects"": 1, 'Canadian Environmental Protection Act as it applies to substances produced by or used by the mineral industry NPRI': 1, 'Economic and Fiscal Policy in relation to providing input regarding federal financial/tax issues': 1, 'Fisheries Act in respect of the Metal Mining Effluent Regulations (MMER), including requirement for Environmental Effects Monitoring (EEM)': 1, 'Fisheries Act in respect of the Metal Mining Effluent Regulations (MMER) including requirements for Environemntal Effects Monitoring (EEM)': 1, ""Corporate and Social Responsibility & Human Rights in respect to the Rountable Report and the goernment's CSR Strategy and Bill C-300"": 1, 'Foreign investment and trade as it relates to trade and investment agreements or activities that may affect the Canadian mining industry': 1, 'Northern Infrastructure': 1, 'Foreign investment and trade as it relates to trade and investment agreements or activitie that may affect the Canadian mining industry': 1, 'Energy Policy in relation to providing input on federal energy policy issues': 1, 'Bill C-300 - An Act Respecting Corporate Accountability for the Activities of Mining, Oil or Gas in Developing Countries': 1, ""Corporate and Social Responsibility and Human Rights in respect to the Rountable Report and the government's CSR Strategy"": 1, 'Northern Infrastructure Investment': 1, 'Innovation': 3, 'Infratstructure': 1, 'Aboriginal participation and mining': 1, 'Geomapping for Energy and Minerals': 2, 'Sustainable Mining': 4, 'Aboriginal Participation in Mining': 1, 'Natural Resources': 1}"
70,"{'Environment': 23, 'Research and Development (R&D)': 62, 'Economic Development': 38, 'Energy': 39, 'Science and Technology': 51, 'Climate': 4, 'Transportation': 19, 'Defence': 15, 'Regional Development': 5, 'Industry': 56, 'International Trade': 25, 'Health': 27, 'Taxation and Finance': 19, 'Aboriginal Affairs': 4, 'Government Procurement': 1, 'Employment and Training': 2, 'International Development': 1, 'Infrastructure': 7, 'Security': 1, 'Intellectual Property': 2, 'Internal Trade': 1, 'Budget': 1, 'Agriculture': 1, ""Current financial/economic crisis.GE's business presence in Canada.GE supports: open trade/markets,USCAP,eco,green technology,wind power,nuclear liability,IP protection,oil s&s dev. & carbon capture"": 1, 'Financial Support': 3, 'Relationship Matters and Financial Support': 1, 'Federal Development and other Federal Program funding': 1, 'Relationship Matters': 2, 'Natural Resources': 2, 'Discussion on the need to provide government support for the commercial paper market and the possibility of providing regular reports on the operation of capital markets': 1, ""Discussion on EDC's increased capitalization and broader mandate and ways in which GE and EDC could work together"": 1, ""Canada's policy on greenhouse gas and NOx and SOx emissions and Canada-U.S. co-operation on the environment"": 2, 'Economic stimulus funding for First Nations water and health projects': 2, 'Proposed changes to the Corruption of Foreign Public Officials Act': 1, 'The budget, the oil sands, energy and nuclear policy': 1, 'Nuclear Liability Act & Pollicy': 1, 'Management of Canada-U.S. border': 1, 'NSERC Research priorities and support prgrams': 1, 'Skills development and availability, employment insurance issues': 1, 'multilateral and bilateral international trade issues': 1}"
71,"{'International Trade': 65, 'Transportation': 133, 'Forestry': 422, 'Industry': 98, 'Environment': 74, 'Budget': 89, 'Labour': 15, 'Climate': 55, 'Aboriginal Affairs': 15, 'Employment and Training': 16, 'Taxation and Finance': 4, 'Science and Technology': 19, 'Research and Development (R&D)': 7, 'Infrastructure': 8, 'Energy': 4, 'Government Procurement': 1, 'Fisheries': 1, 'Economic Development': 1, 'Bio-energy and bio-products in the forest industry': 3, 'Study on future Bio-products/bio-energy opportunities in the forest sector': 2, 'Bio-products and bio-energy in the forest sector': 3, 'Bio-products and Bio-energy in the forest industry': 2, 'Economic challenges affecting countries around the world; renewal of forest sector': 1, 'AbitibiBowater and Newfoundland': 2, 'E.I. work sharing': 1, 'FPInnovations': 1, 'Canadian Lumber Trade Alliance': 1, 'Short term and long term policy approaches in the face of the Biomass Crop Assistance Program and other US subsidies.': 1, 'Climate Change': 1, 'Climate change': 1, 'Resources': 1}"
73,"{'Climate': 174, 'Infrastructure': 228, 'Employment and Training': 168, 'Labour': 64, 'Environment': 59, 'Aboriginal Affairs': 16, 'Education': 75, 'Science and Technology': 69, 'Immigration': 80, 'Defence': 1, 'Housing': 3, 'Government Procurement': 1, 'International Trade': 7, 'Research and Development (R&D)': 13, 'Transportation': 11, 'Industry': 12, 'Regional Development': 2, 'Energy': 6, 'Fisheries': 1, 'Internal Trade': 7, 'International Relations': 2, 'Human Resources': 3, 'Telecommunications': 1}"
75,"{'Environment': 8, 'Energy': 16, 'Industry': 7, 'Climate': 6, 'Transportation': 6, 'Agriculture': 9, 'Biofuels': 34}"
76,"{'Energy': 196, 'Fisheries': 5, 'Environment': 88, 'Taxation and Finance': 36, 'Infrastructure': 38, 'Industry': 18, 'International Trade': 2, 'Aboriginal Affairs': 2, 'Climate': 15, 'Science and Technology': 4, 'International Development': 1, 'Research and Development': 2, 'Economic Development': 1}"
77,"{'Income Tax Act': 5, 'Taxation and Finance': 31, 'Agriculture': 6, 'Financial services regulation': 9, 'Pensions': 5, 'Anti-money laundering/anti-terrorist financing regulation': 1, 'Financial Institutions': 277, 'Consumer Issues': 63, 'Justice and Law Enforcement': 17, '2010 Winter Olympics': 2, 'Income Tax': 1, ""Personal Information Protection and Electronic Document Act (PIPEDA) with respect to the banking industry's collection, use and protection of personal information"": 1, 'Financial Services': 1, 'Constitutional Issues': 13, 'Environment': 3, 'International Relations': 5, 'Labour': 4, 'Immigration': 12, 'Privacy and Access to Information': 4, 'Budget': 5, 'International Trade': 8, 'Sports': 5, 'Small Business': 14, 'Economic Development': 3, 'Internal Trade': 1, 'Employment and Training': 20, 'Industry': 10, 'Housing': 21, 'Science and Technology': 10, 'Education': 2, 'Infrastructure': 8, 'Security': 5, 'Climate': 1}"
78,"{'International Trade': 486, 'Taxation and Finance': 165, 'International Relations': 70, 'Budget': 52, 'Infrastructure': 123, 'Industry': 460, 'Employment and Training': 92, 'Government Procurement': 68, 'Environment': 126, 'Internal Trade': 7, 'Economic Development': 148, 'Energy': 130, 'Science and Technology': 50, 'Climate': 28, 'Regional Development': 22, 'Mining': 19, 'Transportation': 29, 'Immigration': 20, 'Agriculture': 1, 'Aboriginal Affairs': 3, 'Labour': 9}"
79,"{'Infrastructure': 158, 'Fisheries': 47, 'Environment': 423, 'Energy': 530, 'Science and Technology': 8, 'Transportation': 5, 'International Trade': 41, 'Aboriginal Affairs': 6, 'Security': 82, 'Industry': 6, 'Internal Trade': 5, 'Regional Development': 1, 'Government Procurement': 1, 'Economic Development': 19, 'Climate': 9, 'International Development': 1, 'Taxation and Finance': 3, 'Employment and Training': 5, 'Labour': 3, 'Budget': 2, 'Health': 2, 'Fisheries Act': 4, 'Telecommunications': 2, 'GHG and Air Pollutant Frameworks': 1}"
80,"{'Environment': 335, 'Climate': 15, 'Health': 2, 'Energy': 7, 'Science and Technology': 2, 'Budget': 7, 'Transportation': 9, 'Fisheries': 21, 'Infrastructure': 5, 'Agriculture': 1, 'Consumer Issues': 2, 'Privacy and Access to Information': 1, 'Forestry': 2, 'Mining': 4, 'Taxation and Finance': 8, 'Framework for regulating air emissions': 2, 'Federal Sustainable Development Act': 4, 'Fisheries and Aqualculture': 4, 'Carbon Pricing': 11, 'Regional Development': 1, 'Implementation of the Federal Susatinable Development Act': 3, 'Climate Change': 12, 'Fish Habitat Protection Program': 1, '2009 Pacific Salmon Fishing Plan': 1, 'Federal Sustainable Developmen Act': 2, 'The future of the David Suzuki Foundation': 1, 'CDN Environmental Protection Act': 1, 'Species At Risk Act': 1, 'Cdn Sustainable Development Act': 1, 'Species At Rrisk Act': 1, 'CoP 14, Poznan': 3, 'Carbon pricing': 1, 'Critical Habitat': 1, 'Pacific Salmon Treaty': 1, ""Discussion about Canada's positions in climate change negotiations in Accra, Ghana"": 1}"
81,"{'Justice and Law Enforcement': 46, 'Health': 67, 'Fisheries': 49, 'Environment': 70, 'Climate': 45, 'Agriculture': 70, 'Consumer Issues': 62, 'Industry': 44, 'International Development': 21, 'Animal Welfare': 4}"
82,"{'Industry': 30, 'International Trade': 40, 'Agriculture': 102, 'Climate': 64, 'Energy': 36, 'Environment': 71, 'Transportation': 50, 'Budget': 5, 'Labour': 8, 'Mining': 23, 'Science and Technology': 2, 'International Development': 3, 'Economic Development': 5, 'Employment and Training': 3, 'Taxation and Finance': 2, 'International Relations': 2}"
85,"{'Labour': 103, 'International Trade': 118, 'Health': 144, 'Agriculture': 296, 'Internal Trade': 2, 'Taxation and Finance': 55, 'Employment and Training': 14, 'Environment': 49, 'Budget': 9, 'Small Business': 8, 'Immigration': 10, 'Climate': 6, 'Research and Development': 28, 'Economic Development': 1, 'Industry': 37, 'Science and Technology': 1, 'International Relations': 1}"
86,"{'Environment': 15, 'Energy': 39, 'International Trade': 21, 'International Relations': 28, 'Regional Development': 2, 'Industry': 11, 'Employment and Training': 1, 'Climate': 4}"
